,frequency_mhz
10907,118.1
10907,342.5
12490,125.8
12490,117.0
12490,121.7
12490,118.1
13026,131.9
13026,119.3
13026,128.3
13026,119.3
13026,121.9
13026,129.0
13026,125.0
13026,118.3
13073,118.775
13073,118.0
13073,136.8
13073,120.125
18604,118.3
18604,118.3
18604,120.5
18604,128.0
18604,124.1
18604,133.65
18604,122.5
18604,121.7
18604,122.95
18604,123.0
18604,118.3
18659,118.7
18659,121.0
18659,123.95
18659,118.7
18659,121.9
18659,123.275
18659,122.125
18659,118.4
18700,126.7
18700,127.5
18700,122.675
18700,121.7
18700,119.6
18700,119.6
18700,119.6
18734,135.15
18734,121.15
18734,132.95
18734,119.4
18734,128.175
18734,121.9
18734,123.15
18734,127.7
18734,118.8
18825,122.075
18825,118.9
18825,126.9
18825,127.5
18825,133.7
18825,125.6
18825,118.9
18825,121.9
18825,123.55
18825,119.9
18825,134.15
18839,128.6
18839,124.6
18839,121.4
18839,126.125
18839,121.7
18839,123.15
18839,23.66
18839,118.7
18844,119.5
18844,120.2
18844,121.3
18844,119.9
18844,121.9
18844,131.4
18844,308.8
18844,34.46
18844,118.3
18844,125.4
18844,121.0
18868,132.7
18868,119.4
18868,119.8
18868,121.8
18868,122.5
18868,119.4
18869,125.25
18869,121.9
18869,118.3
18869,132.1
18869,123.275
18869,118.3
18869,236.6
18869,118.3
18872,123.85
18872,125.9
18872,126.525
18872,128.225
18872,120.825
18872,119.8
18872,121.9
18872,125.35
18872,124.525
18872,133.3
18872,123.375
18872,121.3
18872,129.7
18872,118.4
18872,118.875
18872,236.6
18872,119.4
18878,125.95
18878,118.8
18878,126.4
18878,133.85
18878,121.9
18878,119.7
18878,349.3
18878,122.85
18878,122.95
18878,119.7
18878,122.375
18878,127.8
18878,119.1
18878,119.7
18885,128.0
18885,133.15
18885,123.0
18885,121.9
18885,123.275
18885,120.6
18889,122.07
18889,122.27
18889,124.475
18889,112.15
18889,121.3
18889,127.575
18889,128.8
18889,119.1
18889,121.65
18889,121.9
18889,131.17
18889,123.275
18889,122.075
18889,118.35
18889,118.7
18889,119.3
18892,118.5
18892,128.4
18892,135.8
18892,122.5
18892,121.9
18892,118.5
19182,118.9
19184,121.4
19184,127.3
19184,121.8
19184,118.7
