,frequency_mhz
10907,"[118.1, 342.5]"
12490,"[125.8, 117.0, 121.7, 118.1]"
13026,"[131.9, 119.3, 128.3, 119.3, 121.9, 129.0, 125.0, 118.3]"
13073,"[118.775, 118.0, 136.8, 120.125]"
18604,"[118.3, 118.3, 120.5, 128.0, 124.1, 133.65, 122.5, 121.7, 122.95, 123.0, 118.3]"
18659,"[118.7, 121.0, 123.95, 118.7, 121.9, 123.275, 122.125, 118.4]"
18700,"[126.7, 127.5, 122.675, 121.7, 119.6, 119.6, 119.6]"
18734,"[135.15, 121.15, 132.95, 119.4, 128.175, 121.9, 123.15, 127.7, 118.8]"
18825,"[122.075, 118.9, 126.9, 127.5, 133.7, 125.6, 118.9, 121.9, 123.55, 119.9, 134.15]"
18839,"[128.6, 124.6, 121.4, 126.125, 121.7, 123.15, 23.66, 118.7]"
18844,"[119.5, 120.2, 121.3, 119.9, 121.9, 131.4, 308.8, 34.46, 118.3, 125.4, 121.0]"
18868,"[132.7, 119.4, 119.8, 121.8, 122.5, 119.4]"
18869,"[125.25, 121.9, 118.3, 132.1, 123.275, 118.3, 236.6, 118.3]"
18872,"[123.85, 125.9, 126.525, 128.225, 120.825, 119.8, 121.9, 125.35, 124.525, 133.3, 123.375, 121.3, 129.7, 118.4, 118.875, 236.6, 119.4]"
18878,"[125.95, 118.8, 126.4, 133.85, 121.9, 119.7, 349.3, 122.85, 122.95, 119.7, 122.375, 127.8, 119.1, 119.7]"
18885,"[128.0, 133.15, 123.0, 121.9, 123.275, 120.6]"
18889,"[122.07, 122.27, 124.475, 112.15, 121.3, 127.575, 128.8, 119.1, 121.65, 121.9, 131.17, 123.275, 122.075, 118.35, 118.7, 119.3]"
18892,"[118.5, 128.4, 135.8, 122.5, 121.9, 118.5]"
19182,[118.9]
19184,"[121.4, 127.3, 121.8, 118.7]"
19798,"[120.3, 118.1, 118.1]"
19813,"[119.5, 121.9, 119.1]"
19913,"[127.9, 127.05, 121.9, 118.6]"
19933,"[124.1, 123.6, 118.1]"
19936,"[120.9, 127.3, 124.3, 123.8, 118.1]"
19964,"[131.3, 565.2, 119.7]"
19985,"[121.2, 118.675, 121.9, 118.1]"
20057,"[118.25, 121.75, 132.475, 121.95, 126.63, 118.05, 121.875, 140.575, 118.6, 120.775, 130.55]"
20113,"[119.275, 126.25, 121.8, 121.925, 129.25]"
20308,"[125.8, 125.625, 118.88, 121.98, 121.755, 122.93]"
20310,"[118.45, 127.275, 119.15, 118.03, 118.73, 121.9, 124.2, 121.8, 121.7, 119.9, 136.5]"
20311,"[123.525, 127.175, 121.875, 129.3, 129.8]"
20312,"[125.1, 123.125, 118.2, 121.8, 134.25, 121.7, 126.85]"
