id,airport_ref,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
269408,6523,80.0,80.0,ASPH-G,1,0,H1,,,,,,,,,,,
255155,6524,2500.0,70.0,GRVL,0,0,N,,,,,,S,,,,,
254165,6525,2300.0,200.0,TURF,0,0,01,,,,,,19,,,,,
270932,6526,40.0,40.0,GRASS,0,0,H1,,,,,,H1,,,,,
322128,322127,1450.0,60.0,Turf,0,0,1,,,,,,19,,,,,
257681,6527,1700.0,60.0,GRAVEL,0,0,15,,,,,,33,,,,,
245528,6528,6000.0,80.0,ASPH,0,0,04,35.3493,-116.893,,50.0,,22,35.3603,-116.878,,,
250597,6529,3900.0,20.0,TURF-G,0,0,16,,,,,,34,,,,,
247972,6531,3200.0,100.0,TURF,0,0,08,,,,,,26,,,,,800.0
265037,6532,74.0,74.0,TURF,0,0,H1,,,,,,,,,,,
250414,6533,4090.0,100.0,TURF,0,0,12,,,,,,30,,,,,
253429,6534,2600.0,80.0,TURF,0,0,09,,,,,,27,,,,,
265038,6535,125.0,95.0,ASPH,1,0,H1,,,,,,,,,,,
265039,6536,1155.0,45.0,ASPH-G,0,0,H1,,,,,,,,,,,
246648,6537,3300.0,40.0,TURF,0,0,08,,,,,,26,,,,,
246649,6537,2700.0,40.0,TURF,0,0,11,,,,,,29,,,,,
252182,6539,2500.0,75.0,TURF-F,0,0,18,,,,,290.0,36,,,,,350.0
265040,6540,40.0,40.0,MATS,1,0,H1,,,,,,,,,,,
254597,6541,1600.0,70.0,TURF,0,0,09,,,,,,24,,,,,
256603,6542,2600.0,85.0,TURF,0,0,17,,,,,,35,,,,,
251984,6543,2100.0,100.0,TURF,0,0,01,,,,,,19,,,,,
264322,45437,40.0,40.0,TURF,0,0,H1,,,,,,,,,,,
265041,6544,25.0,25.0,CONC,0,0,H1,,,,,,,,,,,
255958,6545,2600.0,100.0,TURF,0,0,18,,,,,,36,,,,,
255848,6546,1700.0,75.0,TURF,0,0,14,,,,,,32,,,,,
265042,6547,100.0,100.0,TURF,0,0,H1,,,,,,,,,,,
255865,6548,2949.0,200.0,TURF-G,1,0,06,,,,,,24,,,,,
254820,6549,2400.0,25.0,TURF,0,0,08,,,,,,26,,,,,
249208,6551,1900.0,150.0,TURF-G,1,0,18,,,,,,36,,,,,
249382,6552,2650.0,36.0,ASPH-G,0,0,05,,,,,,23,,,,,
269409,6553,50.0,50.0,ASPH,0,0,H1,,,,,,,,,,,
248635,6554,2350.0,80.0,TURF,1,0,03,,,,,,21,,,,,
255568,6555,2695.0,90.0,TURF-G,0,0,08,,,,,,26,,,,,
269410,6556,42.0,42.0,CONC,0,0,H1,,,,,,,,,,,
328512,328503,2200.0,60.0,Turf/Dirt,0,0,17,,,,,,35,,,,,
269411,6558,80.0,80.0,TURF-G,0,0,H1,,,,,,,,,,,
264557,45773,500.0,75.0,TURF,0,0,12,,,,,,30,,,,,
251695,6559,3100.0,100.0,TURF-G,0,0,08,,,,,1335.0,26,,,,,1072.0
250124,6560,2600.0,90.0,TURF-P,0,0,06,,,,,,24,,,,,
250457,6561,2900.0,100.0,TURF,0,0,08,,,,,,26,,,,,
330392,330391,2400.0,50.0,Turf,0,0,18,,,,,,36,,,,,
269412,6562,85.0,85.0,CONC-G,0,0,H1,,,,,,,,,,,
269413,6563,48.0,48.0,TURF,0,0,H1,,,,,,,,,,,
251439,6564,1800.0,150.0,TURF,0,0,09,,,,,,27,,,,,
248688,6565,1200.0,45.0,TURF,0,0,01,,,,,,19,,,,,
269414,6566,50.0,50.0,CONC,0,0,H1,,,,,,,,,,,
251342,6568,1300.0,100.0,TURF,0,0,01,,,,,,19,,,,270.0,
247311,6569,1500.0,50.0,TURF,0,0,09,,,,,,27,,,,,
254777,6570,3400.0,50.0,GRAVEL-F,0,0,14,,,,,,32,,,,,
247637,6571,1105.0,70.0,TURF-G,0,0,08,,,,,,26,,,,,
240309,6572,1000.0,60.0,TURF,0,0,09,44.3042,-89.052,,87.2,,27,44.3044,-89.0482,,,200.0
250630,6573,1440.0,50.0,TURF-G,0,0,05,,,,,,23,,,,,
251212,6574,1800.0,100.0,TURF,0,0,05,,,,,,23,,,,,
253285,6575,1475.0,75.0,TURF-F,0,0,17,,,,,,35,,,,,
252236,6576,1175.0,40.0,GRAVEL-F,0,0,08,,,,,,26,,,,,
265043,6577,40.0,40.0,CONC,1,0,H1,,,,,,,,,,,
252134,6578,2500.0,160.0,TURF,1,0,N,,,,,,S,,,,,
265044,6579,55.0,55.0,CONC,1,0,H1,,,,,,,,,,,
265045,6580,210.0,150.0,TURF,0,0,H1,,,,,,,,,,,
256815,6581,2517.0,120.0,TURF-G,1,0,09,43.3417,-85.7799,815.0,,387.0,27,43.3417,-85.7703,815.0,,580.0
265046,6582,20.0,20.0,ASPH,0,0,H1,,,,,,,,,,,
246361,6583,3100.0,50.0,ASPH-TRTD,1,0,09,,,,,500.0,27,,,,,
265047,6584,60.0,60.0,ASPH,0,0,H1,,,,,,,,,,,
265048,6585,125.0,40.0,ASPH,0,0,H1,,,,,,,,,,,
265049,6586,70.0,70.0,TURF-GRVL,0,0,H1,,,,,,,,,,,
256042,6587,2000.0,100.0,TURF,0,0,10,,,,,,28,,,,,
256043,6587,1500.0,100.0,TURF,0,0,18,,,,,,36,,,,,
265050,6588,110.0,110.0,CONC,0,0,H1,,,,,,,,,,,
254779,6589,3000.0,50.0,TURF,1,0,18,,,,,,36,,,,,800.0
265051,6590,65.0,65.0,CONC,0,0,H1,,,,,,,,,,,
251847,6591,2560.0,75.0,TURF,0,0,10,,,,,,28,,,,,
253118,6592,2575.0,50.0,TURF-F,1,0,17,,,,,275.0,35,,,,,
258036,6530,2894.0,100.0,TURF-F,0,0,14,42.611,-112.035,,,,32,42.6037,-112.031,,,
265052,6594,416.0,216.0,TURF,0,0,H1,,,,,,,,,,,
265053,6595,45.0,45.0,ASPH,0,0,H1,,,,,,,,,,,
252362,6596,1300.0,100.0,TURF,0,0,09,,,,,,27,,,,,
254664,6597,3365.0,125.0,TURF-P,1,0,18,30.6909,-81.9064,59.0,,795.0,36,30.6817,-81.905,59.0,,370.0
249830,6598,2460.0,110.0,TURF-G,1,0,17,,,1157.0,,,35,,,,,
255679,6599,2400.0,100.0,TURF,0,0,18,,,,,,36,,,,,
265054,6600,40.0,40.0,CONC,0,0,H1,,,,,,,,,,,
253175,6601,2000.0,60.0,TURF,0,0,09,,,,,,27,,,,,
253330,6602,1600.0,70.0,TURF,0,0,02,,,,,,20,,,,,
240115,6603,1800.0,150.0,TURF,0,0,09,30.7227,-91.0802,,92.2,,27,30.7225,-91.0745,,,
265055,6604,32.0,32.0,TURF,0,0,H1,,,,,,,,,,,
257883,6605,3500.0,100.0,WATER,0,0,16,,,,,,34,,,,,
256660,6606,5000.0,500.0,WATER,0,0,02,,,,,,20,,,,,
256661,6606,5000.0,500.0,WATER,0,0,15,,,,,,33,,,,,
265056,6607,50.0,50.0,CONC,0,0,H1,,,,,,,,,,,
249395,6608,10000.0,600.0,WATER,0,0,E,,,,,,W,,,,,
249396,6608,10000.0,600.0,WATER,0,0,NW,,,,,,SE,,,,,
269415,6609,37.0,37.0,CONC,0,0,H1,,,,,,,,,,,
243448,6610,5000.0,70.0,ASPH-G,0,0,13,48.795,-114.886,,148.0,,31,48.7833,-114.875,,,150.0
246908,6611,3200.0,75.0,TURF,1,0,03,,,,,,21,,,,,
246909,6611,2000.0,75.0,ASPH-TURF,0,0,18,,,,,,36,,,,,
252153,6612,2750.0,50.0,TURF,0,0,10,,,,,,28,,,,,
249329,6613,600.0,50.0,TURF,0,0,17,,,,,,35,,,,,
269416,6614,125.0,80.0,ASPH,0,0,H1,,,,,,,,,,,
264064,45537,2700.0,70.0,DIRT,0,0,02,,,,,,20,,,,,
269417,45537,2000.0,70.0,DIRT,0,0,9,,,,,,27,,,,,
250998,6615,2000.0,60.0,GRVL,0,0,18,,,,,,36,,,,,
269418,6616,100.0,75.0,ASPH,0,0,H1,,,,,,,,,,,
347921,347920,100.0,100.0,CON,1,0,H1,,,,,,,,,,,
269419,6617,30.0,30.0,CONC-G,0,0,H1,,,,,,,,,,,
253176,6618,2640.0,25.0,ASPH,1,0,17,,,,,,35,,,,,
345167,345166,1600.0,75.0,Turf,0,0,5,34.3607,-96.7365,1058.0,50.0,,23,34.3931,-96.6889,1043.0,230.0,
249546,6619,4800.0,60.0,GRVL-DIRT,0,0,07,,,,,,25,,,,,
269420,6620,60.0,60.0,TURF,0,0,H1,,,,,,,,,,,
254074,6621,1700.0,100.0,TURF,0,0,06,,,,,,24,,,,,
255854,6622,1200.0,120.0,TURF-G,0,0,03,,,,,,21,,,,,
255011,6623,2580.0,118.0,TURF-F,1,0,18,,,,,,36,,,,,
269421,6624,30.0,30.0,CONC,0,0,H1,,,,,,,,,,,
253218,6625,2433.0,55.0,TURF-F,0,0,04,,,,,,22,,,,,
255290,6626,2700.0,100.0,TURF,0,0,18,,,,,,36,,,,,
254937,6628,500.0,60.0,TURF,0,0,09,,,,,,27,,,,,
254938,6628,700.0,60.0,TURF,0,0,18,,,,,,36,,,,,
248178,6629,2700.0,75.0,DIRT-P,0,0,03,,,,,,21,,,,,
248179,6629,3400.0,80.0,DIRT-P,0,0,15,,,,,,33,,,,,
250607,6630,3200.0,40.0,DIRT-P,0,0,E,,,,,,W,,,,,
248071,6631,1500.0,60.0,TURF,0,0,03,,,,,,21,,,,,
269422,6632,36.0,36.0,CONC,0,0,H1,,,,,,,,,,,
239731,6633,2300.0,120.0,TURF,0,0,01,44.0056,-90.3905,,9.6,,19,44.0118,-90.3892,,,
269423,6634,40.0,40.0,ASPH,1,0,H1,,,,,,,,,,,
264636,45900,28.0,28.0,CONC-G,0,0,H1,,,,,,,,,,,
256957,6635,4360.0,75.0,DIRT-TURF-G,0,0,12,,,,,,30,,,,,
256958,6635,2600.0,65.0,DIRT-TURF-G,0,0,16,,,,,,34,,,,,
270898,46288,50.0,50.0,CONC,1,0,H1,,,,,,H1,,,,,
269424,6636,50.0,50.0,CONC,0,0,H1,,,,,,,,,,,
253115,6637,2200.0,45.0,GRVL,0,0,15,,,,,,33,,,,,
254694,6638,2000.0,150.0,TURF,0,0,18,,,,,,36,,,,,
247597,43030,4400.0,45.0,ASPH-G,0,0,07,,,,,600.0,25,,,,,600.0
250723,6640,4500.0,80.0,TURF,0,0,17,,,,,,35,,,,,
265057,6641,55.0,55.0,PSP,0,0,H1,,,,,,,,,,,
252831,6642,2500.0,100.0,CONC-TURF,0,0,15,,,,,,33,,,,,
249787,6643,3000.0,60.0,DIRT,0,0,16,,,,,,34,,,,,
255048,6644,2670.0,50.0,GRAVEL,0,0,17,,,,,,35,,,,,
265058,6645,50.0,50.0,ASPH,0,0,H1,,,,,,,,,,,
246559,6646,2485.0,150.0,TURF,0,0,18,,,,,,36,,,,,
341547,341544,3443.0,150.0,Turf,0,0,1,30.9476,-86.636,190.0,,,19,30.9571,-86.6349,209.0,,
264162,45347,1800.0,100.0,TURF-F,0,0,12,,,,,,30,,,,,
255300,6648,1200.0,100.0,TURF,0,0,08,,,,,,26,,,,,
255301,6648,1500.0,100.0,TURF,0,0,13,,,,,,31,,,,,
256885,6649,3400.0,100.0,TURF,0,0,09,,,,,,27,,,,,
265059,6650,100.0,100.0,CONC,0,0,H1,,,,,,,,,,,
265060,6651,50.0,50.0,CONC,0,0,H1,,,,,,,,,,,
252347,6652,2000.0,100.0,TURF,0,0,NE,,,,,,SW,,,,,
250386,6653,1100.0,100.0,TURF,0,0,10,,,,,200.0,28,,,,,
252716,6654,1020.0,150.0,TURF,0,0,09,,,,,,27,,,,,
265061,6655,40.0,40.0,MATS,0,0,H1,,,,,,,,,,,
