,frequency_mhz
7,122.9
76,122.9
76,122.8
268,122.9
293,122.8
299,123.0
333,122.9
399,124.6
399,121.65
399,120.4
419,122.9
461,122.7
480,126.85
494,126.625
575,122.9
578,122.8
613,132.65
656,122.95
664,122.9
678,122.9
782,128.35
1123,122.8
1124,126.625
1126,122.8
1151,123.05
1310,134.85
1310,126.2
1310,38.9
1310,138.25
1389,119.75
1454,119.35
1454,322.1
1518,119.35
1538,126.625
1552,122.725
1559,123.0
1663,127.45
1729,122.975
1769,126.625
1770,122.8
1866,122.725
1883,122.9
1894,119.3
1963,122.725
2157,31.48
2409,122.9
2449,126.625
2468,122.9
2639,143.35
2639,118.8
2639,30.45
2639,38.75
2639,38.7
2639,41.2
2639,120.75
2708,143.35
2708,118.8
2708,30.45
2708,38.75
2708,38.7
2708,41.2
2708,120.75
2717,122.9
2802,122.9
2819,126.625
2822,132.65
2890,122.9
2987,126.625
2987,122.8
3003,122.8
3049,127.45
3134,122.9
3137,122.9
3155,125.5
3155,122.8
3236,122.8
3525,122.8
3602,127.45
3604,126.625
3639,126.625
3640,126.625
3668,122.725
3719,127.45
3719,122.9
3732,127.45
3734,126.625
3841,122.75
4062,122.9
4106,122.9
4106,122.6
4214,122.8
4312,122.9
4558,122.9
4648,122.9
4738,126.625
4743,126.625
4744,126.625
4770,126.625
4870,126.625
4992,122.8
5188,123.0
5328,134.75
5328,122.8
5389,122.9
5801,122.2
5807,126.625
5820,126.625
5839,126.625
6220,122.7
6268,122.9
6275,122.8
6321,122.9
6467,122.9
6601,122.8
6621,122.9
6648,122.2
6858,123.3
6879,126.625
7003,126.625
7003,122.75
7157,126.625
7303,122.9
7352,122.9
7388,122.7
7434,126.625
7513,122.9
7707,122.7
7845,127.45
8034,122.9
8050,122.75
8067,126.625
8068,126.625
8154,127.45
8154,122.725
8174,122.8
8206,127.45
8210,126.625
8256,132.65
8311,126.625
8435,122.8
8441,122.95
8459,122.9
8494,121.725
8494,122.975
8665,122.9
8753,129.9
8781,123.05
8798,126.625
8802,126.625
8803,126.625
8803,122.8
8811,122.75
8826,127.45
8995,122.9
9060,126.625
9149,126.625
9212,122.9
9299,122.8
9308,126.625
9351,122.9
9679,126.625
9718,126.625
9780,127.45
9858,126.625
9859,126.625
9869,122.9
9911,126.625
9989,127.45
10029,126.625
10089,122.9
10182,122.9
10272,122.9
10277,122.9
10469,122.8
10536,122.8
10594,122.8
10607,123.07
10640,34.2
10764,131.35
11064,122.85
11161,122.8
11290,123.5
11293,123.5
11334,123.0
11392,123.2
11413,123.5
11560,123.5
11654,123.2
11717,118.9
12099,126.7
12108,127.1
12112,126.7
12132,127.1
12138,126.7
12139,119.1
12144,126.7
12148,126.7
12148,122.4
12708,122.9
12708,122.9
12736,123.6
12909,118.1
12952,118.1
12967,118.1
12987,119.7
12987,119.1
13034,118.2
13034,118.0
13038,119.7
13038,119.1
13045,118.1
13054,119.9
13061,119.7
13061,118.1
15080,123.2
15151,123.2
15151,127.7
15296,123.2
15299,123.2
15372,123.2
15385,122.8
15422,123.2
15436,122.8
15446,122.8
15448,123.4
15449,123.15
15455,123.2
15489,122.8
15500,123.0
15508,123.2
15509,123.2
15515,123.4
15516,123.0
15518,122.9
15525,123.2
15525,122.9
15781,122.9
15803,122.9
15821,122.9
15823,41.5
15823,38.9
15834,122.9
15853,122.8
15861,122.75
15867,123.2
15867,126.7
15880,123.2
15881,123.2
15900,123.35
15901,123.2
15906,123.2
15907,122.8
15908,122.8
15909,123.0
15912,123.3
15912,125.5
15912,118.1
15916,123.2
15922,122.8
15923,122.8
15923,122.8
15924,123.2
15940,123.2
15944,123.4
15947,129.9
15955,122.8
15955,123.7
15959,126.7
15959,122.8
15960,122.8
15968,123.2
15987,123.2
15992,123.2
16003,123.2
16004,122.8
16004,131.05
16004,123.475
16004,126.7
16024,123.4
16038,123.2
16063,122.8
16071,123.2
16073,123.2
16082,123.0
16088,123.2
16104,123.2
16111,122.8
16113,123.2
16113,135.65
16120,123.2
16125,123.2
16128,123.2
16129,123.2
16134,123.2
16135,121.8
16135,122.8
16146,123.0
16151,123.2
16153,123.4
16154,132.1
16154,123.2
16158,119.2
16158,123.0
16160,122.8
16168,122.8
16169,123.2
16173,123.5
16178,120.6
16178,119.5
16178,122.8
16179,122.8
16189,132.1
16189,123.2
16298,123.45
16298,123.0
16299,123.2
16318,123.35
16324,123.2
16333,122.8
16338,123.2
16343,123.2
16345,123.5
16350,123.2
16350,132.1
16352,123.2
16353,123.2
16353,122.7
16354,123.2
16355,123.2
16359,122.8
16364,123.2
16364,123.55
16367,122.8
16369,122.8
16372,123.0
16376,123.2
16380,123.4
16381,123.2
16382,122.9
16387,122.8
16388,122.8
16394,123.4
16395,123.3
16396,122.8
16397,123.2
16398,133.45
16398,126.7
16398,122.8
16403,123.0
16404,123.0
16406,123.2
16411,123.2
16414,123.0
16415,123.2
16416,123.2
16423,123.0
16424,123.2
16426,123.2
16427,123.0
16428,122.8
16428,126.2
16433,123.2
16440,122.8
16441,122.8
16444,123.2
16445,122.8
16446,123.2
16450,123.2
16452,122.8
16459,122.2
16459,126.7
16462,123.2
16463,123.2
16468,122.8
16470,123.2
16472,122.8
16477,123.5
16481,123.2
16484,123.2
16485,123.2
16507,123.5
16507,122.35
16511,123.2
16514,123.2
16515,122.0
16527,123.2
16530,135.5
16530,123.5
16530,134.025
16530,123.55
16534,122.2
16543,122.9
16556,123.2
16557,123.2
16564,49.9
16568,123.2
16580,123.2
16581,123.2
16588,122.8
16589,122.8
16605,122.8
16607,123.2
16610,123.4
16612,123.2
16626,123.2
16638,122.9
16658,123.2
16676,123.2
16677,123.2
16709,123.0
16715,122.7
16719,123.2
16723,122.8
16730,123.2
16736,122.8
16743,123.2
16759,122.8
16762,123.2
16765,122.8
16773,123.2
16779,123.2
16797,122.8
16797,123.55
16798,122.8
16800,444.1
16800,123.2
16803,123.2
16805,123.2
16832,122.8
16833,122.8
16840,122.8
16840,122.2
16846,123.2
16850,122.8
16856,122.8
16856,122.8
16872,123.2
16884,123.2
16893,122.8
16907,123.0
16908,122.8
16932,122.8
16959,123.2
16960,123.2
17071,122.8
17082,122.9
17138,121.0
17139,123.2
17140,123.2
17143,119.4
17143,119.4
17151,123.2
17160,123.2
17171,122.85
17173,123.2
17185,123.2
17187,123.35
17190,123.2
17196,118.3
17197,123.2
17212,123.2
17219,123.2
17222,123.4
17503,124.025
17503,123.0
17507,122.8
17515,123.0
17522,123.2
17527,122.8
17531,122.8
17533,123.3
17533,123.3
17534,134.25
17534,122.725
17549,123.2
17550,122.8
17550,122.8
17555,126.7
17555,122.8
17561,134.675
17561,118.525
17561,123.0
17573,122.9
17573,122.725
17579,124.275
17579,122.7
17581,123.2
17582,122.8
17583,122.725
17584,126.5
17584,133.4
17584,123.5
17585,135.3
17585,123.0
17591,122.8
17592,123.2
17596,123.2
17598,123.2
17605,123.2
17609,122.8
17612,123.3
17616,122.775
17617,123.35
17619,122.8
17619,122.8
17626,132.575
17626,122.85
17627,123.2
17631,123.2
17634,128.27
17634,125.0
17634,123.35
17703,122.8
17718,123.05
17758,123.3
17793,118.325
17793,122.725
17803,123.2
17804,123.2
17813,122.9
17823,123.2
17824,122.8
17826,123.4
17841,123.2
17847,132.65
17847,122.5
17847,122.8
17849,123.2
17850,122.8
17855,123.2
17857,123.4
17860,122.8
17878,123.4
17880,123.4
17888,123.2
17896,123.2
17897,123.2
17903,123.2
17904,123.2
17904,123.4
17906,122.8
17907,123.0
17909,123.4
17911,122.8
17911,122.8
17912,123.2
17915,123.2
17918,122.8
17919,122.725
17926,123.2
17929,123.5
17930,123.2
17955,123.2
17957,123.3
17957,122.35
17957,128.7
17968,122.9
17970,122.9
17989,122.9
18001,122.9
18008,122.8
18013,123.45
18013,139.33
18021,122.9
18021,122.75
18022,122.7
18027,128.225
18027,122.8
18030,123.0
18033,126.575
18033,122.1
18033,122.8
18036,122.9
18040,124.65
18040,132.85
18040,123.0
18041,122.8
18054,123.5
18055,123.2
18061,123.2
18068,122.8
18078,122.7
18081,123.4
18085,132.35
18085,122.8
18104,123.2
18107,122.8
18109,132.35
18109,123.0
18113,122.8
18113,125.9
18113,126.7
18115,123.5
18115,123.5
18119,123.5
18119,123.5
18123,123.5
18127,123.2
18135,123.2
18144,123.2
18257,123.2
18257,126.7
18271,123.2
18274,126.7
18274,122.35
18275,122.725
18298,123.2
18315,123.5
18414,123.2
18414,123.2
18415,123.2
18436,123.2
18533,122.1
18550,123.3
18550,133.75
18550,123.55
18575,132.25
18575,123.2
18583,122.8
18585,122.7
18588,123.2
18588,126.7
18595,123.2
18595,134.05
18595,126.7
18610,122.8
18612,122.8
18618,128.27
18618,122.825
18643,122.8
18655,122.8
18668,123.2
18680,122.8
18687,123.2
18687,134.7
18687,126.7
18691,123.2
18695,134.5
18695,122.8
18697,122.55
18697,124.025
18697,122.7
18712,126.57
18712,122.8
18714,122.8
18720,123.2
18721,124.5
18721,121.9
18721,119.0
18743,126.3
18743,125.0
18743,123.8
18743,126.3
18751,123.2
18752,126.35
18752,123.2
